"FreshBox Buah Naga 0,9 - 1 kg",Buah-buahan,"Detail :
- Buah naga
- Packaging menggunakan alas mika dan dilapisi plastik dengan standar mutu keamanan pangan
- Buah naga pilihan setelah melalui 3 kali proses pengecekan kualitas
- Berat : 0,9 - 1 kg

[FRESHBOX INFO]

Info Pengiriman:
1. Order yang masuk pukul 00.00 – 20.00 akan dikirimkan H+1
2. Order yang masuk pukul 20.00 – 23.58 akan dikirimkan H+2

Info Penukaran Barang/Komplain:
1. Batas maksimal keluhan adalah 3 jam setelah barang diterima oleh customer
2. Jika pesanan yang diterima tidak sesuai dengan spesifikasi customer dapat melampirkan foto produk dan shipping label

Jam operational Customer Service 09.00 – 18.00

Kami selalu berusaha memberikan yang terbaik untuk merespon kebutuhan kamu!

FreshBox,
From Our Farm to Your Table"
Salak Pondoh,Buah-buahan,Salak Pondoh 1 kg
Kol / Kubis - Berat 500gram (Mracang Market),Sayuran,"Kol atau Kubis dijual berat 500gram

Jasa Kurir yg di pakai :
Go-Send / Grab Instant Courier, Go-send / Grab Same Day
Untuk Pengiriman Luar Kota bisa menghubungi admin kami.

Info Pengiriman :
- Produk akan dikirim H+1 untuk pemesanan sebelum pukul 18:00 . Pembelian setelah pukul 18:00 akan dikirim H+2 .
- Apabila Brang kosong , pilihan "" Refund atau Pengiriman Telat "" akan diberlakukan.
- Pengiriman mulai jam 9 pagi sampai jam 6 Sore
- dkirim sesuai urutan order yang masuk
- Jika ingin terjadwal bisa mengubungi admin atau membirakan Note.

Jika barang ready kami akan kirim di hari yang sama.

Jam Operasional Toko : 09.00 – 18.00
Order di luar jam operasional toko, akan direspon pada jam 09.00 (di hari berikutnya)
Hari Sabtu dan Minggu tetap beroperasional dan ada pengiriman

COPYRIGHT :
- Teman-teman selain dropshiper / reseller, mohon jangan copy paste Produk karena beberapa pelanggan mengalami salah beli ke toko lain ( tetapi komunikasi chat tetap ke kami ) dikarenakan foto Produk yang "" identik ( sangat mirip )"". Kami mohon untuk menggunakan foto berbeda dengan Produk kami untuk kenyamanan bersama.
- Untuk pelanggan, mohon untuk mengecek kembali "" toko "" di keranjang belanja jika memang ingin berbelanja di Mracang Market.

Jika ada pertanyaan, silahkan menghubungi admin chat / WA

Terima Kasih.
Selamat Berbelanja"
Khusus Buah Durian Kupas Sidikalang Premium lebih enak dari duren ucok,Buah-buahan,"Maaf disini khusus jual Durian Premium Berkwalitas (Durian berkelas harga bersahabat).. Belum coba belum tau, sekali coba jadi langganan. Durian Kupas asli Sidikalang Medan Manis Harum Legit Pekat Menggigit. Kami hadirkan khusus bagi pecinta durian sejati

Penting Untuk Dibaca:
Instan Berlaku Garansi Asam Tawar Gak Enak diganti yg baru (Komplain berlaku dihari yang sama penerimaan produk)

Sameday Garansi tidak berlaku karena sameday memerlukan waktu yang lama untuk sampai ke tujuan

Ongkir bolak balik ditanggung pembeli

Dengan membeli berarti sudah memahami dan setuju dengan peraturan toko

Semua produk sebelum dikirim selalu diperiksa satu persatu (QC=Quality Control) untuk memastikan produk dalam keadaan bagus demi untuk kepuasan pelanggan

Untuk pembelian banyak dan ongkir murah silahkan tanya tanya via chat Tokopedia

#durian #durianmedan #duriankupas #durianenak #durianmanis #pancakedurian #makanan #minuman #dagingdurian #duren #durenmedan #durenkupas #durenenak #durenmanis #pancakeduren #dagingduren #ucok #kuliner"
Jamur Hioko Shitake Kering 3-4cm( 500gram),Jamur,"Kemasan 500gram(Repack)
exp 06.2023

Jamur shitake sudah dikenal selama ribuan tahun, selain rasanya yang enak, Jamur ini adalah salah satu jenis jamur yang dapat dikonsumsi dan memiliki berbagai macam manfaat kesehatan bagi tubuh. Kebiasaan konsumsi jamur shitake bermula pada wilayah Asia Timur di mana selain sebagai bahan makanan, jenis jamur ini juga digunakan sebagai bahan obat-obatan.


Beberapa manfaat kesehatan dari konsumsi jamur shiitake:

- Menjaga kesehatan jantung – jamur shiitake memiliki komponen khusus untuk membantu mengontrol kolesterol darah di antaranya eritadenine (menegah pembentukan kolesterol berlebih), sterols (mencegah penyerapan kolesterol) dan beta-glucan (jenis serat yang dapat menurunkan kadar kolesterol).

- Memperkuat sistem imun tubuh – hal dikarenakan terdapat beberapa komponen seperti serat dan beberapa senyawa seperti asam oksalat, lentinan, centinamycin (anti-bakteri) serta eritadenine (antivirus) yang terdapat dalam jamur. Karena kandungan yang cukup banyak untuk melawan kuman, para peneliti juga berpendapat bahwa obat yang berasal dari jamur shitake dapat menjadi alternatif penggunaan antibiotik

- Mencegah kanker – lentinan yang merupakan salah satu kandungan jamur shiitake dikenal sebagai zat anti-inflamasi yang efektif dalam memperbaiki kerusakan tubuh.

- Mencegah obesitas – komponen jamur shiitake seperti eritadenin memiliki efek mengurangi lemak, disamping itu, komponen b-glucan juga dapat meningkatkan rasa kenyang dalam mengurangi penyepan lemak.

- Menjaga kesehatan otak – jamur shitake memiliki kandungan vitamin B yang cukup tinggi sehingga cukup mengatasi gangguan kognitif akibat defisiensi vitamin B. Konsumsi jamur shitake dapat membantu keseimbangan hormon otak dan membantu otak dalam berkonsentrasi."
jagung manis pipil / jagung madu,Sayuran,"JANGAN MENGGUNAKAN KURIR ANTER AJA wajib mengunakan gosend / grab same day ato jne yes dilain itu jagung rusak tidak ada komplain ...
pake pengiriman lain tetap dikirim resiko ditanggung sendiri ( penjual tidak akan tolak penjualan krn akan mengurangi perfoma toko)

Jagung manis pipilan cocok untuk segala usaha
1.Jagung susu keju (Jasuke)
2.jus jagung
3.soup jagung dan lain lain"
Wortel SUPER 500gr / Carrot / Sayuran,Sayuran,"Wortel Lokal Super PREMIUM
Berat : 500gr
#Orderan yang telah di-PROSES pasti DIKIRIM, tidak bisa dibatalkan dengan alasan apapun#
===================================
Blibuah berkomitmen menjaga kualitas dan kesegaran produk BUAH dan SAYUR segar yang diproses langsung dari MITRA petani kami. Kami bangga dapat menyajikan aneka buah dan sayur SEGAR untuk anda dan pelanggan setia.. Happy Shopping...

AREA COVERAGE SAMEDAY
DKI JAKARTA, CIPAYUNG , BEKASI, CIBITUNG, CIBUBUR, DAN DEPOK

SEBELUM ORDER WAJIB BACA KETENTUAN TOKO
(MEMBELI = SETUJU) :
STOK 98% READY, SILAHKAN DI ORDER
* Start PICK UP Pukul 09.00 - 18.00 WIB ( PICKUP LEBIH AWAL)
Jika barang kosong kami akan REFUND melalui PUSAT BANTUAN dengan menyertakan FOTO UNBOXING produk.
* Pengiriman dengan Ekspedisi REGULAR, KERUSAKAN barang akibat proses pengiriman menjadi tanggung jawab PEMBELI.
* Untuk keamanan pengiriman, TAMBAHKAN item product PACKING TAMBAHAN KARDUS
* OPERASIONAL TOKO : SENIN - SABTU ( Minggu & Tanggal merah TOKO TUTUP )
* Info Lengkap Hub CS via CHAT past respon
^^0-81-1-9434-499^

Toleransi timbangan +-50gr untuk produk buah dan sayur yg berukuran besar dikarenakan ukuran tiap produk pertanian tidak bisa seragam

------ FRESH QUALITY PRODUCT -----"
jamur merang segar 250gr,Jamur,"Jamur pemesanan wajib dr malem ya ..karna kalo siang cepat abisnya
Isi 250gr


Pengiriman yang bahan kering bisa menggunakan ekspedisi..
Kalo sayuran segar , buah , daging , ayam, ikan hanya menggunakan gojek / grab ya..
Dijamin segerrr ya bu ibu.."
Anggur Black Seedless Grapes USA Impor Fresh Organic Garing Manis 500g,Buah-buahan,"Anggur Black Seedless Grapes USA Impor Fresh Organic Asli premium

Rasa Manis..garing tanpa Biji..enak Dan premium pokoknya.. untuk lapak ini kemasan dikirim dengan Mika 500gr (bukan dengan pouch anggur nya)

Berat:500gr

Jarang ada Di mart2 ..order segera!

Pengiriman hari yang sama dengan order maksimal
JNE Jam 13.00
Gojek/Grab Jam 14.00

* TIDAK MENERIMA RETUR BARANG RUSAK: Bila kesalahan dari pihak ekspedisi (DIGIGIT HAMA/ BUSUK karena kurir lambat). Ajukan klaim ke pihak ekspedisi. Kami bantu
* HUB KAMI: Bila paket kurang/ salah/ bocor. Bicarakan dg santun agar kami dapat memberi solusi terbaik, via chat/ Pusat Resolusi (lampirkan foto alamat di bungkus & foto isi paketnya)
* TIDAK BISA REQ JAM PICKUP (Kecuali telah disepakati sebelum order)
* Baca dan pelajari dulu keterangan produk & aturan toko sebelum order
*ORDER = SETUJU
* ORDER TIDAK BISA DICANCEL bila telah kami proses.

KHUSUS GOSEND:
- SAMEDAY: SAMPAI 3-8 JAM setelah mendapat driver
- INSTAN KURIR: 1-3 JAM
- Pastikan ada yang menerima paket. TULIS KETERANGAN kemana barang dititipkan bila rumah kosong!!!
- ALAMAT KANTOR/ Apartment dengan sistem parkir, ganti ongkos parkir Driver ya. Perhitungkan jam pulang kantor dg perkiraan paket sampai!
- Nama, No Hp Driver dll = CEK LAMAN ORDER!
- Status pickup gagal = Cancel dari driver
- Status Dikembalikan ke penjual = Driver palsu"
Paket Sayur Asem,Sayuran,"Paket sayur asem plus bumbu racik
Sudah dalam keadaan di potong-potong tinggal dicuci saja"
